SSC ID,Station Name,Country_x,Latitude,Longitude,IOC code,PTWC code,GLOSS ID_x,UHSLC ID,PSMSL ID,SONEL GPS,SONEL TG,Details,Edit,Code,GLOSS ID_y,Country_y,Location,Connection,DCP ID,Last observation  Level,Time in GMT,Delay,TransmitInterval,View
SSC-chnr,Chañaral,Chile,-26.35,-70.63,"chnr, chnr2",chnr,,,,,,[details],[edit],chnr,,Chile,Chañaral,SXCH40,ADC296A8,3.35,08:49,10',5',[open]
SSC-chnr,Chañaral,Chile,-26.35,-70.63,"chnr, chnr2",chnr,,,,,,[details],[edit],chnr2,,Chile,Chañaral,web,,3.25,08:48,10',5',[open]
SSC-chrl,Charlotteville,Trinidad and Tobago,11.32,-60.55,chrl,chrl,,,2007,,,[details],[edit],chrl,,Trinidad & Tobago,Charlotteville,SOTD10,A9C043BC,0.04,2016-08-16 13:33,401d,1h,[open]
SSC-chrp,Cherry Point,United States,48.86,-122.76,"chrp, chrp2",chrp,,,1633,,,[details],[edit],chrp,,USA,Cherry Point,web,336BB6AC,1.01,08:52,7',5',[open]
SSC-chrp,Cherry Point,United States,48.86,-122.76,"chrp, chrp2",chrp,,,1633,,,[details],[edit],chrp2,,USA,Cherry Point,SXXX03,336BB6AC,-6.68,08:45,14',5',[open]
SSC-chrs,Christmas Island,Australia,-10.43,105.67,chrs,chrs,47.0,170,1010,2929,2811,[details],[edit],chrs,47,Australia,Christmas Island,SZIO01,46290,0.34,08:53,6',3',[open]
SSC-xmas,Christmas Island,Kiribati,1.98,-157.47,xmas,xmas,146.0,11,"1371, 801",,2848,[details],[edit],chrs,47,Australia,Christmas Island,SZIO01,46290,0.34,08:53,6',3',[open]
SSC-chtt,Chittagong,Bangladesh,22.33,91.83,chtt,chtt,36.0,124,"1573, 2196, 416, 750, 975, 991",3599,2804,[details],[edit],chtt,36,Bangladesh,Chittagong,SZBW40,065079CC,7.8,08:49,10',6',[open]
SSC-cila,Cilacap,Indonesia,-7.75,109.0,"cila, cili","cila, cili",291.0,162,"1602, 2199, 272",3413,"2892, 3586",[details],[edit],cili,291,Indonesia,Cilacap,SZID49,0650FFD8,2.87,2017-07-13 07:44,70d,6',[open]
SSC-civi,Civitavecchia,Italy,42.09,11.79,CI20,,,,"106, 2091",2256,2255,[details],[edit],CI20,,Italy,Civitavecchia,web,,0.08,08:53,6',5',[open]
SSC-cmet,Caleta Meteoro,Chile,-52.97,-74.07,"cmet, cmet3",cmet,,,,,,[details],[edit],cmet,,Chile,Caleta Meteoro,SXCH40,140204F8,1.79,08:44,15',15',[open]
SSC-cmet,Caleta Meteoro,Chile,-52.97,-74.07,"cmet, cmet3",cmet,,,,,,[details],[edit],cmet3,,Chile,Caleta Meteoro,web,,1.86,08:50,9',15',[open]
SSC-cmnj,Cape May,United States,38.97,-74.96,"cmnj, cmnj2",cmnj,,746,1153,,,[details],[edit],cmnj,,USA,Cape May,web,335D53E0,0.47,08:48,11',5',[open]
SSC-cmnj,Cape May,United States,38.97,-74.96,"cmnj, cmnj2",cmnj,,746,1153,,,[details],[edit],cmnj2,,USA,Cape May,SXXX03,335D53E0,-4.8,08:47,12',5',[open]
SSC-cocb,Cocos Island,Australia,-12.12,96.89,cocb,cocb,46.0,171,"1052, 1666, 983",656,2218,[details],[edit],cocb,46,Australia,Cocos Island,SZIO01,46280,1.06,08:53,6',3',[open]
SSC-coch,Cochin,India,9.97,76.27,coch,coch,32.0,174,438,2067,2438,[details],[edit],coch,32,India,Cochin,ftp,43357,1.02,08:19,40',10',[open]
SSC-cois,Corn Island,Nicaragua,12.33,-83.07,cois,,,,,,,[details],[edit],cois,,Nicaragua,Corn Island,SXXX50,22178120,1.27,2017-07-07 12:09,76d,1h,[open]
SSC-colo,Colombo,Sri Lanka,6.95,79.85,"colb, colo","colb, colo",33.0,115,"1755, 2194, 388, 718",3582,1994,[details],[edit],colo,33,Sri Lanka,Colombo,SWIO40,xxxxxxxx,1.25,08:45,14',15',[open]
SSC-como,Comores,Comoros,-11.7,43.25,como,como,,,,,,[details],[edit],como,,Comores,Comores,SXXX32,166AC436,0.01,08:38,21',15',[open]
SSC-conc,Concarneau,France,47.87,-3.91,"conc, conc2",conc,,,1301,3189,1751,[details],[edit],conc,,France,Concarneau,ftp,,1.48,08:47,11',5',[open]
SSC-const,Constitucion,Chile,-35.36,-72.46,"cons2, const",cons,,,,,,[details],[edit],cons2,,Chile,Constitucion,web,,4.57,08:54,5',5',[open]
SSC-const,Constitucion,Chile,-35.36,-72.46,"cons2, const",cons,,,,,,[details],[edit],const,,Chile,Constitucion,SXCH40,ADC154B8,4.58,08:50,9',5',[open]
SSC-coqu,Coquimbo,Chile,-29.95,-71.34,"coqu, coqu2",coqu,,,977,,,[details],[edit],coqu,,Chile,Coquimbo,SXCH40,ADC117B2,3.44,08:48,11',5',[open]
SSC-coqu,Coquimbo,Chile,-29.95,-71.34,"coqu, coqu2",coqu,,,977,,,[details],[edit],coqu2,,Chile,Coquimbo,web,,3.38,08:47,11',5',[open]
SSC-cord,Cordova,United States,60.56,-145.75,"cord, cord2",cord,,583,566,2672,2671,[details],[edit],cord,,USA,Cordova,web,335FA690,3.23,08:51,8',5',[open]
SSC-cord,Cordova,United States,60.56,-145.75,"cord, cord2",cord,,583,566,2672,2671,[details],[edit],cord2,,USA,Cordova,SXXX03,335FA690,-4.85,08:44,15',5',[open]
SSC-corie,Corinth,Greece,37.95,22.94,corn,corn,,,,,,[details],[edit],corn,,Greece,Corinth,bgan,CORN,0.58,08:37,22',1',[open]
SSC-corr,Corral,Chile,-39.89,-73.43,"corr, corr2",corr,,,1057,2654,2653,[details],[edit],corr,,Chile,Corral,SXCH40,14066424,4.37,08:49,10',5',[open]
SSC-corr,Corral,Chile,-39.89,-73.43,"corr, corr2",corr,,,1057,2654,2653,[details],[edit],corr2,,Chile,Corral,web,,4.25,08:55,3',5',[open]
SSC-coru,La Coruña,Spain,43.37,-8.4,"cor2, coru",,243.0,830,"1808, 484, 763",618,"2195, 2399, 2400",[details],[edit],coru,243,Spain,La Coruña,web,,1.15,2017-09-19 07:50,2d,1d,[open]
SSC-cove,Coveñas,Colombia,9.41,-76.21,cove,cove,,,,,,[details],[edit],cove,,Colombia,Coveñas,ftp,,0.3,08:30,29',15',[open]
SSC-cpit,Castlepoint,New Zealand,-40.9,176.23,cpit,cpit,,,,,,[details],[edit],cpit,,New Zealand,Castlepoint,SZNZ01,CPIT,4.01,08:46,13',3',[open]
SSC-cres,Crescent City,United States,41.75,-124.18,"cres, cres2",cres,,556,378,"2711, 3036",2693,[details],[edit],cres,,USA,Crescent City,web,33622592,2.03,08:48,11',5',[open]
SSC-cres,Crescent City,United States,41.75,-124.18,"cres, cres2",cres,,556,378,"2711, 3036",2693,[details],[edit],cres2,,USA,Crescent City,SXXX03,33622592,-3.62,08:47,12',5',[open]
SSC-crnl,Coronel,Chile,-37.03,-73.15,"crnl, crnl2",crnl,,,,,,[details],[edit],crnl,,Chile,Coronel,SXCH40,ADC1C1DA,3.79,08:46,13',5',[open]
SSC-crnl,Coronel,Chile,-37.03,-73.15,"crnl, crnl2",crnl,,,,,,[details],[edit],crnl2,,Chile,Coronel,web,,3.75,08:51,8',5',[open]
SSC-crom,Cromer,United Kingdom,52.93,1.3,crom,,,,1632,3245,3244,[details],[edit],crom,,UK,Cromer,ftp,,4.62,08:30,29',15',[open]
SSC-crtn,Crotone,Italy,39.08,17.14,CR08,,,,2077,3057,3056,[details],[edit],CR08,,Italy,Crotone,web,,-999,2017-09-03 20:32,18d,5',[open]
SSC-csta,Constanta,Romania,44.16,28.6,csta,,,,379,3378,3377,[details],[edit],csta,,Romania,Constanta,ftp,,-1.17,08:49,10',1',[open]
SSC-csta,Constanta,Romania,44.16,28.6,csta,,,,379,3378,3377,[details],[edit],csta2,,Romania,Constanta,bgan,CSTA2,-8.01,08:35,24',1',[open]
SSC-cstr,Castro,Chile,-42.48,-73.76,"cstr, cstr2",cstr,,,,,,[details],[edit],cstr,,Chile,Castro,SXCH40,ADC1315E,5.72,08:44,15',10',[open]
SSC-cstr,Castro,Chile,-42.48,-73.76,"cstr, cstr2",cstr,,,,,,[details],[edit],cstr2,,Chile,Castro,web,,6.73,2017-05-03 11:43,141d,10',[open]
SSC-curri,Currimao,Philippines,18.02,120.48,curri,curi,,654,2173,,,[details],[edit],curri,,Philippines,Currimao,SXXX33,12D7050E,4.5,08:48,11',15',[open]
SSC-cuvie,Cape Cuvier Wharf,Australia,-24.22,113.4,cuvie,capc,,,,,,[details],[edit],cuvie,,Australia,Cape Cuvier Wharf,SZAU01,62385,0.45,08:50,9',3',[open]
SSC-cuxh,Cuxhaven,Germany,53.87,8.72,cuxh,,284.0,825,"222, 7",2509,2510,[details],[edit],cuxh,284,Germany,Cuxhaven,web,,4.62,08:52,7',5',[open]
SSC-cwfl,Clearwater Beach,United States,27.98,-82.83,"cwfl, cwfl2",cwfl,,773,1638,,,[details],[edit],cwfl,,USA,Clearwater Beach,web,3358C142,0.47,08:47,12',5',[open]
SSC-cwfl,Clearwater Beach,United States,27.98,-82.83,"cwfl, cwfl2",cwfl,,773,1638,,,[details],[edit],cwfl2,,USA,Clearwater Beach,SXXX50,3358C142,-5.5,08:40,19',5',[open]
SSC-dakar,Dakar,Senegal,14.68,-17.42,dakar,daka,253.0,223,"1726, 1816, 1994, 1995, 1996, 476, 932","2734, 661","2202, 2782",[details],[edit],dakar,253,Sénégal,Dakar,SXXX33,360916B8,7.25,08:46,13',15',[open]
SSC-darw,Darwin,Australia,-12.47,130.85,darw,darw,62.0,168,935,2930,2818,[details],[edit],darw,62,Australia,Darwin,SZAU01,63230,7.03,08:50,9',3',[open]
SSC-davo,Davao,Philippines,7.08,125.63,davo,davo,71.0,372,537,3504,2824,[details],[edit],davo,71,Philippines,Davao,SWPH41,06505F20,8.14,08:50,9',6',[open]
SSC-delf,Delfzijl,Netherlands,53.33,6.93,delf,,,,24,,,[details],[edit],delf,,Netherlands,Delfzijl,web,,0.62,08:30,29',10',[open]
SSC-denh,Den Helder,Netherlands,52.96,4.75,denh,,,,23,,,[details],[edit],denh,,Netherlands,Den Helder,web,,0.67,08:30,29',10',[open]
SSC-dese,Puerto Deseado,Argentina,-47.75,-65.91,dese,dese,190.0,286,185,"2050, 3567, 946",2562,[details],[edit],dese,190,Argentina,Puerto Deseado,SEPO40,33912088,4.6,08:49,10',15',[open]
SSC-dial,Dauphin Island,United States,30.2,-88.1,"dial, dial2",dial,,763,1156,"2971, 2972, 745",2113,[details],[edit],dial,,USA,Dauphin Island,web,335752B2,0.34,08:46,13',5',[open]
SSC-diba,Diba,Oman,25.65,56.27,diba,diba,,,,,,[details],[edit],diba,,Oman,Diba,SXOM33,18EE7334,0.14,08:45,14',6',[open]
SSC-diel,Dielette,France,49.55,-1.86,"diel, diel2",,,,,,,[details],[edit],diel,,France,Dielette,ftp,,8.79,08:47,11',5',[open]
SSC-diep,Dieppe,France,49.93,1.09,"diep, diep2",diep,,,474,"3184, 3188, 3534",1904,[details],[edit],diep,,France,Dieppe,ftp,,5.83,08:48,11',5',[open]
SSC-djib,Djibouti,Djibouti,11.6,43.17,djib,bout,2.0,119,"1291, 2225",,1995,[details],[edit],djib,2,Djibouti,Djibouti,SXXX32,3601E29A,,2017-07-10 12:26,73d,15',[open]
SSC-dlpr,Deal Pier,United Kingdom,51.22,1.41,dlpr,,,,,,,[details],[edit],dlpr,,UK,Deal Pier,web,,-0.76,08:57,2',0.1666',[open]
SSC-dnrc,Dover,United States,39.16,-75.52,,,,,,916,,[details],[edit],dove,,UK,Dover,ftp,,2.18,08:30,29',15',[open]
SSC-dove,Dover,United Kingdom,51.11,1.32,dove,,,,255,2013,2385,[details],[edit],dove,,UK,Dover,ftp,,2.18,08:30,29',15',[open]
SSC-dpnc,Duck Pier,United States,36.18,-75.75,"dpnc, dpnc2",dpnc,219.0,260,1636,"1884, 1885, 668",2154,[details],[edit],dpnc,219,USA,Duck Pier,web,335DD5F4,0.69,08:50,9',5',[open]
SSC-dunk,Dunkerque,France,51.05,2.37,"dunk, dunk2",dunk,,,468,"3185, 3186, 3415",1758,[details],[edit],dunk,,France,Dunkerque,ftp,,1.71,08:48,11',5',[open]
SSC-duqm,Duqm,Oman,19.66,57.72,duqm,duqm,,,,,,[details],[edit],duqm,,Oman,Duqm,SXOM33,18EB74F4,0.18,08:46,13',6',[open]
SSC-elak,Elfin Cove,United States,58.19,-136.34,"elak, elak2",elak,,,,,,[details],[edit],elak,,USA,Elfin Cove,web,3360C394,2.83,08:47,12',5',[open]
SSC-elak,Elfin Cove,United States,58.19,-136.34,"elak, elak2",elak,,,,,,[details],[edit],elak2,,USA,Elfin Cove,SXXX03,3360C394,-4.93,08:46,13',5',[open]
SSC-elpo,El Porvenir,Panama,9.56,-78.95,elpo,elpo,,739,,,,[details],[edit],elpo,,Panamá,El Porvenir,SEPO40,354084BC,6.71,08:48,11',5',[open]
SSC-epme,East Port,United States,44.9,-66.99,"epme, epme2",epme,,740,332,670,2354,[details],[edit],epme,,USA,East Port,web,3365875E,0.83,08:47,12',5',[open]
SSC-epme,East Port,United States,44.9,-66.99,"epme, epme2",epme,,740,332,670,2354,[details],[edit],epme2,,USA,East Port,SXXX03,3365875E,-8.88,08:46,13',5',[open]
SSC-erdem,Erdemli,Turkey,36.57,34.25,erdem,,,,2009,2652,2651,[details],[edit],erdem,,Turkey,Erdemli,ftp,,1.34,2017-09-14 15:31,7d,2',[open]
SSC-espe,Esperance,Australia,-33.87,121.9,espe,espe,54.0,176,"1114, 1127",2059,2109,[details],[edit],espe,54,Australia,Esperance,SZAU01,62080,0.85,08:50,9',3',[open]
SSC-faja,Fajardo,Puerto Rico,18.33,-65.63,faja,faja,,783,2211,,,[details],[edit],faja,,Puerto Rico,Fajardo,SXXX03,3366C35A,-1.83,2017-09-20 08:50,1d,6',[open]
SSC-ferg,Cape Ferguson,Australia,-19.28,147.06,ferg,ferg,60.0,334,"1492, 584, 637, 963",858,"2321, 2585",[details],[edit],ferg,60,Australia,Cape Ferguson,SZAU01,59260,1.85,08:50,9',3',[open]
SSC-feth,Fethiye,Turkey,36.62,29.09,feth,feth,,,,,,[details],[edit],feth,,Turkey,Fethiye,bgan,FETH,1.34,08:37,22',1',[open]
SSC-figu,La Figueirette,France,43.48,6.93,"figu, figu2",figu,,,2232,"3194, 3541",3165,[details],[edit],figu,,France,La Figueirette,ftp,,0.57,08:47,11',5',[open]
SSC-fish,Fishguard,United Kingdom,52.01,-4.98,fish,,,,"1731, 939",,,[details],[edit],fish,,UK,Fishguard,ftp,,4.69,08:30,29',15',[open]
SSC-fmfl,Fort Myers,United States,26.65,-81.87,"fmfl, fmfl2",fmfl,,,1106,3521,3520,[details],[edit],fmfl,,USA,Fort Myers,web,336754C2,1.31,08:50,9',5',[open]
SSC-fmfl,Fort Myers,United States,26.65,-81.87,"fmfl, fmfl2",fmfl,,,1106,3521,3520,[details],[edit],fmfl2,,USA,Fort Myers,SXXX03,336754C2,-2.41,08:49,10',5',[open]
SSC-fong,Fongafale,Tuvalu,-8.5,179.2,fong,fong,121.0,25,"1452, 1839",865,2167,[details],[edit],fong,121,Tuvalu Islands,Fongafale,SZPS01,67440,1.98,08:53,6',3',[open]
SSC-form,Formentera,Spain,38.73,1.42,form,,,,2060,,,[details],[edit],form,,Spain,Formentera,ftp,,0.51,08:48,11',4',[open]
SSC-fort,Fortaleza,Brazil,-3.72,-38.47,fort,fort,336.0,283,559,"1921, 3455, 673",2300,[details],[edit],fort,336,Brasil,Fortaleza,SEPO40,3542D134,6.33,08:50,9',5',[open]
SSC-fosm,Fos-sur-Mer,France,43.4,4.89,fosm,,,,"2234, 969",3540,3163,[details],[edit],fosm,,France,Fos-sur-Mer,ftp,,0.51,08:47,12',5',[open]
SSC-fpga,Fort Pulaski,United States,32.03,-80.9,"fpga, fpga2",fpga,289.0,752,395,2721,2720,[details],[edit],fpga,289,USA,Fort Pulaski,web,335F151E,0.5,08:46,13',5',[open]
SSC-fpga,Fort Pulaski,United States,32.03,-80.9,"fpga, fpga2",fpga,289.0,752,395,2721,2720,[details],[edit],fpga2,289,USA,Fort Pulaski,SXXX03,335F151E,-5.3,08:45,14',5',[open]
SSC-frtr,Frontera,Mexico,18.15,-94.27,frtr,frtr,,,,,,[details],[edit],frtr,,Mexico,Frontera,ftp,,2.32,2017-09-05 16:12,16d,10',[open]
SSC-fuev,Fuerteventura,Spain,28.49,-13.86,fue2,,,,2048,3135,3134,[details],[edit],fue2,,Spain,Fuerteventura,ftp,,0.56,08:48,11',4',[open]
SSC-fuka,Fukaura,Japan,40.65,139.93,fuka,fuka,,,"121, 1317",,,[details],[edit],fuka,,Japan,Fukaura,SWJP40,FUKAURA,2.48,08:39,20',10',[open]
SSC-gand,Gandia,Spain,39.0,-0.15,gand,,,,2058,,,[details],[edit],gand,,Spain,Gandia,ftp,,0.1,08:48,11',4',[open]
SSC-ganm,Gan,Maldives,-0.69,73.15,ganm,ganm,27.0,109,"1025, 1481, 1661, 1707",3412,2801,[details],[edit],ganm,27,Maldive Islands,Gan,SXXX32,32D8A2BE,8.12,08:48,11',15',[open]
SSC-garc,Diego Garcia,United Kingdom,-7.23,72.43,garc,garc,26.0,104,"1740, 1982, 2190, 947","2553, 664","2181, 3587",[details],[edit],garc,26,UK,Diego Garcia,SZIO40,06504C56,8.36,08:49,10',6',[open]
SSC-gata,Gaeta,Italy,41.21,13.59,GA37,,,,2137,,,[details],[edit],GA37,,Italy,Gaeta,web,,-999,2017-05-15 05:05,129d,5',[open]
SSC-genv,Genova,Italy,44.41,8.93,GE25,genv,,,"2090, 59",678,2250,[details],[edit],GE25,,Italy,Genova,web,,0.18,08:41,18',5',[open]
SSC-geor,George Town,Cayman Islands,19.3,-81.38,geor,geor,,,"1422, 1426","1880, 3523","2140, 2731",[details],[edit],geor,,Cayman Islands,George Town,SOGC10,1320048C,0.16,08:49,10',5',[open]
SSC-gibr,Gibraltar,United Kingdom,36.13,-5.35,"gibr, gibr2",gibr,248.0,289,"2055, 2117, 490, 981","2232, 3373","2231, 3462, 3463",[details],[edit],gibr2,248,UK,Gibraltar,SXXX33,364026A2,-0.22,08:39,20',15',[open]
SSC-gijo,Gijon,Spain,43.56,-5.7,gij2,,,,"1871, 507",,,[details],[edit],gij2,,Spain,Gijon,ftp,,1.17,08:48,11',4',[open]
SSC-gist,Gisborne,New Zealand,-38.68,178.02,gist,gist,,78,1613,,,[details],[edit],gist,,New Zealand,Gisborne,SZNZ01,GIST,4.34,08:47,12',3',[open]
SSC-gokc,Gokceada,Turkey,40.23,25.89,gokc,,,,2015,,,[details],[edit],gokc,,Turkey,Gokceada,ftp,,1.03,2017-09-14 15:28,7d,2',[open]
SSC-goug,Gough Island,South Africa,-40.32,-9.95,goug,goug,,,,684,,[details],[edit],goug,,UK,Gough Island,SXXX32,18D74682,,08:49,10',15',[open]
SSC-gptx,Galveston Pier,United States,29.31,-94.79,"gptx, gptx2","gptx, pptx",217.0,"767, 775","161, 828","1934, 2973, 676","2355, 2356",[details],[edit],gptx,217,USA,Galveston Pier,web,336AB456,0.53,08:46,13',5',[open]
SSC-groo,Groote Eylandt,Australia,-13.86,136.42,groo,groo,,,"1160, 1177",,,[details],[edit],groo,,Australia,Groote Eylandt,SZAU01,63511,1.01,08:50,9',6',[open]
SSC-gwda,Gwadar,Pakistan,25.11,62.34,gwda,gwda,295.0,,1999,,2894,[details],[edit],gwda,295,Pakistan,Gwadar,SXXX33,1851B170,0.01,08:42,17',15',[open]
SSC-hade,Hadera,Israel,32.47,34.86,hade,,80.0,,1797,2022,2163,[details],[edit],hade,80,Israel,Hadera,ftp,,0.39,2017-08-31 02:53,21d,1',[open]
SSC-hain,Haing Gyi Kyun,Myanmar,16.0,94.32,hain,,,,,,,[details],[edit],hain,,Myanmar,Haing Gyi Kyun,SZBM45,48000,0.79,2017-09-04 19:24,17d,6',[open]
SSC-hako,Hakodate,Japan,41.47,140.43,hako,hako,88.0,364,"671, 813",799,"2312, 2755",[details],[edit],hako,88,Japan,Hakodate,SWJP40,HAKODATE,2.15,08:39,20',10',[open]
SSC-hana,Hanasaki,Japan,43.28,145.57,hana,hana,,,"139, 1442",,,[details],[edit],hana,,Japan,Hanasaki,SWJP40,HANASAKI,1.38,08:39,20',10',[open]
SSC-hani,Hanimadhoo,Maldives,6.77,73.17,hani,hani,,117,"1779, 2184",,,[details],[edit],hani,,Maldive Islands,Hanimadhoo,SXXX32,26CB10AC,6.29,08:46,13',15',[open]
SSC-harl,Harlingen,Netherlands,53.18,5.41,harl,,,,25,,,[details],[edit],harl,,Netherlands,Harlingen,web,,1.05,08:30,29',10',[open]
SSC-harw,Harwich,United Kingdom,51.95,1.29,harw,,,,"214, 742",,,[details],[edit],harw,,UK,Harwich,ftp,,2.06,08:30,29',15',[open]
SSC-hbay,Herne Bay,United Kingdom,51.38,1.12,hbay,,,,,,,[details],[edit],hbay,,UK,Herne Bay,web,,-0.68,08:57,1',0.1666',[open]
SSC-helg,Helgoland Binnenhafen,Germany,54.18,7.89,helg,,,,"660, 713","3545, 691",2260,[details],[edit],helg,,Germany,Helgoland Binnenhafen,web,,5.43,08:52,7',5',[open]
SSC-herb,L'Herbaudière,France,47.03,2.3,"herb, herb2",herb,,,,,3478,[details],[edit],herb,,France,L'Herbaudière,ftp,,1.73,08:47,11',5',[open]
SSC-heys,Heysham,United Kingdom,54.03,-2.92,heys,,,,936,,,[details],[edit],heys,,UK,Heysham,ftp,,3.91,08:30,29',15',[open]
SSC-hieo,ElHierro,Spain,27.78,-17.9,hie2,,,,2051,3143,3142,[details],[edit],hie2,,Spain,ElHierro,ftp,,0.96,08:48,11',4',[open]
SSC-hink,Hinkley Point,United Kingdom,51.21,-3.13,hink,,,,1758,,,[details],[edit],hink,,UK,Hinkley Point,ftp,,10.81,08:30,29',15',[open]
SSC-hirt,Hirtshals,Denmark,57.6,9.97,hirt,,,,89,2064,2233,[details],[edit],hirt,,Denmark,Hirtshals,ftp,,-0.22,08:40,19',10',[open]
SSC-hmda,Hamada,Japan,34.9,132.07,hmda,hmda,326.0,348,"143, 1585, 94",804,"2150, 2740",[details],[edit],hmda,326,Japan,Hamada,SWJP40,HAMADA,2.38,08:39,20',10',[open]
SSC-honn,Honningsvåg,Norway,70.98,25.98,honn,,,801,1267,2091,2453,[details],[edit],honn,,Norway,Honningsvåg,web,,0.08,10:20,-81',1h,[open]
SSC-horn,Hörnum,Germany,54.76,8.3,horn,,,,,"2001, 2002, 3552",2261,[details],[edit],horn,,Germany,Hörnum,web,,4.5,08:55,4',5',[open]
SSC-huas,Huasco,Chile,-28.46,-71.22,"huas2, huas3",huas,,,,,,[details],[edit],huas2,,Chile,Huasco,web,,4.98,08:56,3',5',[open]
SSC-huas,Huasco,Chile,-28.46,-71.22,"huas2, huas3",huas,,,,,,[details],[edit],huas3,,Chile,Huasco,web,,4.94,08:50,9',5',[open]
SSC-huat,Huatulco,Mexico,15.75,-96.12,"huat, huat2",huat,,,,,,[details],[edit],huat,,Mexico,Huatulco,SOMX10,01010358,2.08,2017-09-15 15:56,6d,15',[open]
SSC-huat,Huatulco,Mexico,15.75,-96.12,"huat, huat2",huat,,,,,,[details],[edit],huat2,,Mexico,Huatulco,ftp,,-999,08:32,27',15',[open]
SSC-huel,Huelva5,Spain,37.13,-6.83,huel,,,,1883,"1923, 3458",2173,[details],[edit],huel,,Spain,Huelva5,ftp,,0.58,08:48,11',4',[open]
SSC-iaix,Ile d'Aix,France,46.01,-1.17,iaix,,,,2236,3005,3004,[details],[edit],iaix,,France,Ile d'Aix,ftp,,2.07,08:47,11',5',[open]
SSC-ibiz,Ibiza2,Spain,38.92,1.45,ibiz,,,,1932,942,2191,[details],[edit],ibiz,,Spain,Ibiza2,ftp,,0.51,08:48,11',4',[open]
